gdb_id,Title,Release_Date,Thumb,Platform,URL
3344,Broken Sword: The Shadow of the Templars,3/17/02,boxart/original/front/3344-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3344-1.jpg
3345,Bruce Lee: Return of the Legend,3/28/03,boxart/original/front/3345-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3345-1.png
3346,Bubble Bobble: Old & New,9/28/04,boxart/original/front/3346-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3346-1.jpg
3347,Caesars Palace Advance: Millenium Gold Edition,9/19/01,boxart/original/front/3347-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3347-1.jpg
3348,Car Battler Joe,10/21/02,boxart/original/front/3348-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3348-1.jpg
3349,Castlevania: Aria of Sorrow,5/6/03,boxart/original/front/3349-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3349-1.png
3350,Castlevania: Circle of the Moon,6/11/01,boxart/original/front/3350-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3350-1.png
3352,Dr. Seuss' The Cat in the Hat,11/5/03,boxart/original/front/3352-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3352-1.jpg
3353,Catwoman,7/20/04,boxart/original/front/3353-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3353-1.jpg
3354,CIMA: The Enemy,11/17/03,boxart/original/front/3354-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3354-1.jpg
3355,Classic NES Series: Donkey Kong,6/7/04,boxart/original/front/3355-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3355-1.jpg
3356,Codename: Kids Next Door - Operation S.O.D.A.,11/2/04,boxart/original/front/3356-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3356-1.jpg
3357,Colin McRae Rally 2.0,9/17/02,boxart/original/front/3357-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3357-1.jpg
3358,Contra Advance: The Alien Wars EX,11/3/02,boxart/original/front/3358-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3358-1.jpg
3359,Corvette,11/11/03,boxart/original/front/3359-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3359-1.jpg
3360,Crash Bandicoot 2: N-Tranced,6/15/03,boxart/original/front/3360-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3360-1.jpg
3361,Crash Bandicoot: The Huge Adventure,2/28/02,boxart/original/front/3361-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3361-1.jpg
3362,Crash Bandicoot Purple: Ripto's Rampage,6/1/04,boxart/original/front/3362-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3362-1.jpg
3363,Crash Nitro Kart,11/11/03,boxart/original/front/3363-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3363-1.jpg
3364,Crazy Chase,10/23/02,boxart/original/front/3364-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3364-1.jpg
3365,"Crouching Tiger, Hidden Dragon",10/9/03,boxart/original/front/3365-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/3365-1.png
3366,CT Special Forces,1/4/04,boxart/original/front/3366-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3366-1.jpg
3367,Cubix: Robots for Everyone: Clash 'n Bash,6/24/02,boxart/original/front/3367-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3367-1.jpg
3376,Dead to Rights,12/3/04,boxart/original/front/3376-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3376-1.jpg
3377,Defender,11/3/02,boxart/original/front/3377-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3377-1.jpg
3378,Defender of the Crown,11/4/02,boxart/original/front/3378-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3378-1.jpg
3379,Denki Blocks!,10/30/01,boxart/original/front/3379-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3379-1.jpg
3380,Desert Strike Advance,5/8/02,boxart/original/front/3380-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3380-1.jpg
3381,Digimon Battle Spirit,1/13/03,boxart/original/front/3381-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3381-1.jpg
